root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:19:00.793573 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4126503697:4126503805, ack 2999390586, win 501, length 108
00:19:01.030421 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 87748:87912, ack 73, win 501, length 164
00:19:01.030494 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 87912:88060, ack 73, win 501, length 148
00:19:01.031567 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 82688, win 511, length 0
00:19:01.031575 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 88060:88360, ack 73, win 501, length 300
00:19:01.031618 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 88360:88508, ack 73, win 501, length 148
00:19:01.031663 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 88508:88808, ack 73, win 501, length 300
00:19:01.032016 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 83500, win 508, length 0
00:19:01.032022 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 88808:88980, ack 73, win 501, length 172
00:19:01.032060 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 88980:89128, ack 73, win 501, length 148
00:19:01.032877 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 86808, win 513, length 0
00:19:01.032877 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 87136, win 512, length 0
00:19:01.032890 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 89128:89428, ack 73, win 501, length 300
00:19:01.032930 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 89428:89576, ack 73, win 501, length 148
00:19:01.032958 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 89576:89612, ack 73, win 501, length 36
00:19:01.032996 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 89612:89888, ack 73, win 501, length 276
00:19:01.033047 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 89888:90316, ack 73, win 501, length 428
00:19:01.033085 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 90316:90480, ack 73, win 501, length 164
00:19:01.033122 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 90480:90644, ack 73, win 501, length 164
00:19:01.033158 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 90644:90808, ack 73, win 501, length 164
00:19:01.033194 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 90808:90972, ack 73, win 501, length 164
00:19:01.033230 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 90972:91136, ack 73, win 501, length 164
00:19:01.033266 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91136:91300, ack 73, win 501, length 164
00:19:01.033303 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91300:91464, ack 73, win 501, length 164
00:19:01.033339 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91464:91628, ack 73, win 501, length 164
00:19:01.033375 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91628:91792, ack 73, win 501, length 164
00:19:01.033411 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91792:91956, ack 73, win 501, length 164
00:19:01.040790 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 87748, win 509, length 0
00:19:01.040828 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 91956:92120, ack 73, win 501, length 164
00:19:01.040969 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 92120:92268, ack 73, win 501, length 148
00:19:01.044094 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 88060, win 508, length 0
00:19:01.044116 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 92268:92568, ack 73, win 501, length 300
00:19:01.044208 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 92568:92716, ack 73, win 501, length 148
00:19:01.044887 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 88808, win 513, length 0
00:19:01.044896 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 92716:93052, ack 73, win 501, length 336
00:19:01.044920 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 89128, win 512, length 0
00:19:01.044952 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 93052:93200, ack 73, win 501, length 148
00:19:01.044992 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 93200:93236, ack 73, win 501, length 36
00:19:01.045027 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 93236:93400, ack 73, win 501, length 164
00:19:01.045087 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 93400:93684, ack 73, win 501, length 284
00:19:01.045140 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 93684:94112, ack 73, win 501, length 428
00:19:01.046665 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 89428, win 510, length 0
00:19:01.046683 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94112:94276, ack 73, win 501, length 164
00:19:01.047607 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 91956, win 513, length 0
00:19:01.047623 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94276:94596, ack 73, win 501, length 320
00:19:01.047680 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94596:94744, ack 73, win 501, length 148
00:19:01.047712 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94744:94780, ack 73, win 501, length 36
00:19:01.047748 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94780:94944, ack 73, win 501, length 164
00:19:01.047795 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 94944:95244, ack 73, win 501, length 300
00:19:01.047848 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 95244:95544, ack 73, win 501, length 300
00:19:01.047888 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 95544:95708, ack 73, win 501, length 164
00:19:01.047941 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 95708:95872, ack 73, win 501, length 164
00:19:01.047984 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 95872:96036, ack 73, win 501, length 164
00:19:01.048023 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96036:96200, ack 73, win 501, length 164
00:19:01.048096 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96200:96364, ack 73, win 501, length 164
00:19:01.048138 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96364:96528, ack 73, win 501, length 164
00:19:01.048181 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96528:96692, ack 73, win 501, length 164
00:19:01.048249 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96692:96856, ack 73, win 501, length 164
00:19:01.054532 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 92268, win 512, length 0
00:19:01.054549 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 96856:97020, ack 73, win 501, length 164
00:19:01.054650 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 97020:97304, ack 73, win 501, length 284
00:19:01.058784 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 92716, win 510, length 0
00:19:01.058813 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 97304:97468, ack 73, win 501, length 164
00:19:01.058910 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 97468:97752, ack 73, win 501, length 284
00:19:01.060512 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 94112, win 513, length 0
00:19:01.060523 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 97752:97916, ack 73, win 501, length 164
00:19:01.060585 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 97916:98200, ack 73, win 501, length 284
00:19:01.060635 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 98200:98364, ack 73, win 501, length 164
00:19:01.060677 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 98364:98528, ack 73, win 501, length 164
00:19:01.060716 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 98528:98692, ack 73, win 501, length 164
00:19:01.060753 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 98692:98856, ack 73, win 501, length 164
00:19:01.061525 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 95244, win 508, length 0
00:19:01.061533 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 98856:99020, ack 73, win 501, length 164
00:19:01.061553 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 96856, win 513, length 0
00:19:01.061603 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 99020:99416, ack 73, win 501, length 396
00:19:01.061644 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 99416:99580, ack 73, win 501, length 164
00:19:01.061680 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 99580:99744, ack 73, win 501, length 164
00:19:01.061718 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 99744:99908, ack 73, win 501, length 164
00:19:01.061755 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 99908:100072, ack 73, win 501, length 164
00:19:01.061791 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100072:100244, ack 73, win 501, length 172
00:19:01.061829 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100244:100416, ack 73, win 501, length 172
00:19:01.061866 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100416:100588, ack 73, win 501, length 172
00:19:01.061902 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100588:100760, ack 73, win 501, length 172
00:19:01.061939 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100760:100932, ack 73, win 501, length 172
00:19:01.061975 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 100932:101104, ack 73, win 501, length 172
00:19:01.062011 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 101104:101276, ack 73, win 501, length 172
00:19:01.062048 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 101276:101448, ack 73, win 501, length 172
00:19:01.062084 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 101448:101620, ack 73, win 501, length 172
00:19:01.074047 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 97020, win 512, length 0
00:19:01.074047 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 97752, win 509, length 0
00:19:01.074047 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 97916, win 509, length 0
00:19:01.074070 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 101620:101792, ack 73, win 501, length 172
00:19:01.074191 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 101792:102300, ack 73, win 501, length 508
00:19:01.074239 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 102300:102472, ack 73, win 501, length 172
00:19:01.074276 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 102472:102644, ack 73, win 501, length 172
00:19:01.074312 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 102644:102816, ack 73, win 501, length 172
00:19:01.075864 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 98856, win 513, length 0
00:19:01.075880 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 102816:102988, ack 73, win 501, length 172
00:19:01.075966 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 102988:103272, ack 73, win 501, length 284
00:19:01.076010 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 103272:103444, ack 73, win 501, length 172
00:19:01.076053 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 103444:103616, ack 73, win 501, length 172
00:19:01.076094 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 103616:103788, ack 73, win 501, length 172
00:19:01.076612 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 101620, win 513, length 0
00:19:01.076626 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 103788:103960, ack 73, win 501, length 172
00:19:01.076691 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 103960:104244, ack 73, win 501, length 284
00:19:01.076736 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 104244:104416, ack 73, win 501, length 172
00:19:01.076778 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 104416:104588, ack 73, win 501, length 172
00:19:01.076818 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 104588:104760, ack 73, win 501, length 172
00:19:01.076857 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 104760:104932, ack 73, win 501, length 172
00:19:01.076914 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 104932:105104, ack 73, win 501, length 172
00:19:01.076956 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105104:105276, ack 73, win 501, length 172
00:19:01.076998 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105276:105448, ack 73, win 501, length 172
00:19:01.077040 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105448:105620, ack 73, win 501, length 172
00:19:01.077081 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105620:105792, ack 73, win 501, length 172
00:19:01.077124 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105792:105964, ack 73, win 501, length 172
00:19:01.077165 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 105964:106136, ack 73, win 501, length 172
00:19:01.077217 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 106136:106308, ack 73, win 501, length 172
00:19:01.077270 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 106308:106480, ack 73, win 501, length 172
00:19:01.087198 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 102816, win 508, length 0
00:19:01.087221 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 106480:106652, ack 73, win 501, length 172
00:19:01.087320 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 106652:106936, ack 73, win 501, length 284
00:19:01.087387 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 106936:107108, ack 73, win 501, length 172
00:19:01.087441 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 107108:107280, ack 73, win 501, length 172
00:19:01.087486 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 107280:107452, ack 73, win 501, length 172
00:19:01.087528 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 107452:107624, ack 73, win 501, length 172
00:19:01.090670 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 102988, win 507, length 0
00:19:01.090685 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 107624:107796, ack 73, win 501, length 172
00:19:01.091243 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 106136, win 513, length 0
00:19:01.091267 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 107796:108080, ack 73, win 501, length 284
00:19:01.091285 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 106480, win 511, length 0
00:19:01.091336 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108080:108476, ack 73, win 501, length 396
00:19:01.091377 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108476:108648, ack 73, win 501, length 172
00:19:01.091415 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108648:108820, ack 73, win 501, length 172
00:19:01.091453 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108820:108992, ack 73, win 501, length 172
00:19:01.091489 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 108992:109164, ack 73, win 501, length 172
00:19:01.091526 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 109164:109336, ack 73, win 501, length 172
00:19:01.091562 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 109336:109508, ack 73, win 501, length 172
00:19:01.091599 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 109508:109680, ack 73, win 501, length 172
00:19:01.091636 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 109680:109852, ack 73, win 501, length 172
00:19:01.091673 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 109852:110024, ack 73, win 501, length 172
00:19:01.091709 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110024:110196, ack 73, win 501, length 172
00:19:01.091746 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110196:110368, ack 73, win 501, length 172
00:19:01.091782 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110368:110540, ack 73, win 501, length 172
00:19:01.091819 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110540:110712, ack 73, win 501, length 172
00:19:01.091855 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110712:110884, ack 73, win 501, length 172
00:19:01.091893 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 110884:111056, ack 73, win 501, length 172
00:19:01.091943 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 111056:111228, ack 73, win 501, length 172
00:19:01.091979 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 111228:111400, ack 73, win 501, length 172
00:19:01.099988 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 106652, win 511, length 0
00:19:01.100020 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 111400:111572, ack 73, win 501, length 172
00:19:01.100653 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 107108, win 509, length 0
00:19:01.100661 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 111572:111856, ack 73, win 501, length 284
00:19:01.100746 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 111856:112140, ack 73, win 501, length 284
00:19:01.101862 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 107624, win 513, length 0
00:19:01.101872 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 112140:112312, ack 73, win 501, length 172
00:19:01.101937 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 112312:112596, ack 73, win 501, length 284
00:19:01.101978 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 112596:112768, ack 73, win 501, length 172
00:19:01.104292 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 107796, win 512, length 0
00:19:01.104309 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 112768:112940, ack 73, win 501, length 172
00:19:01.105172 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 108992, win 507, length 0
00:19:01.105181 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 112940:113224, ack 73, win 501, length 284
00:19:01.105210 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 111400, win 513, length 0
00:19:01.105263 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 113224:113620, ack 73, win 501, length 396
00:19:01.105303 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 113620:113792, ack 73, win 501, length 172
00:19:01.105340 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 113792:113964, ack 73, win 501, length 172
00:19:01.105395 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 113964:114136, ack 73, win 501, length 172
00:19:01.105450 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114136:114308, ack 73, win 501, length 172
00:19:01.105495 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114308:114480, ack 73, win 501, length 172
00:19:01.105533 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114480:114652, ack 73, win 501, length 172
00:19:01.105569 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114652:114824, ack 73, win 501, length 172
00:19:01.105606 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114824:114996, ack 73, win 501, length 172
00:19:01.105643 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 114996:115168, ack 73, win 501, length 172
00:19:01.105679 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 115168:115340, ack 73, win 501, length 172
00:19:01.105714 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 115340:115512, ack 73, win 501, length 172
